#LLS(kpc),P_325MHz(W/Hz)
1500.0,7.80206823665e+25
1700.0,5.60280894252e+24
1300.0,8.08102398019e+24
1100.0,7.21004768095e+25
1600.0,5.6925757532e+26
1900.0,4.65673884259e+25
1800.0,6.07381597482e+25
2000.0,4.60498749467e+25
3000.0,6.7852786825e+26
1500.0,7.7635937473e+25
5700.0,3.00229872902e+26
2600.0,4.77141681512e+24
1200.0,5.57395626694e+25
1000.0,4.65005018516e+25
1300.0,1.10318534256e+26
2600.0,2.09606854179e+26
1600.0,1.0631351442e+25
3000.0,1.27708885503e+25
1600.0,1.21186902997e+26
