#LLS(kpc),P_325MHz(W/Hz)
1340.0,2.47312043948e+26
990.0,4.27175348638e+25
2240.0,1.43890643752e+26
1680.0,1.88856469924e+26
2670.0,8.54350697276e+25
860.0,1.57380391603e+25
1030.0,1.82111595998e+26
760.0,1.7986330469e+25
1280.0,9.44282349621e+25
810.0,2.24829130862e+25
1500.0,2.81036413578e+26
2340.0,1.97849635159e+26
2200.0,4.02444144243e+26
1240.0,7.19453218759e+25
1750.0,1.12414565431e+27
2140.0,1.7986330469e+26
980.0,6.74487392586e+24
